m,TagName,
"2008-07-01 00:00:00","c#","3"
"2008-08-01 00:00:00","assembly","8"
"2008-08-01 00:00:00","c","83"
"2008-08-01 00:00:00","c#","506"
"2008-08-01 00:00:00","c++","164"
"2008-08-01 00:00:00","delphi","14"
"2008-08-01 00:00:00","java","222"
"2008-08-01 00:00:00","javascript","164"
"2008-08-01 00:00:00","perl","28"
"2008-08-01 00:00:00","php","159"
"2008-08-01 00:00:00","python","120"
"2008-08-01 00:00:00","ruby","70"
"2008-09-01 00:00:00","assembly","28"
"2008-09-01 00:00:00","c","318"
"2008-09-01 00:00:00","c#","1648"
"2008-09-01 00:00:00","c++","753"
"2008-09-01 00:00:00","delphi","104"
"2008-09-01 00:00:00","java","1133"
"2008-09-01 00:00:00","javascript","637"
"2008-09-01 00:00:00","perl","130"
"2008-09-01 00:00:00","php","478"
"2008-09-01 00:00:00","python","537"
"2008-09-01 00:00:00","r","6"
"2008-09-01 00:00:00","ruby","288"
"2008-10-01 00:00:00","assembly","15"
"2008-10-01 00:00:00","c","303"
"2008-10-01 00:00:00","c#","1989"
"2008-10-01 00:00:00","c++","809"
"2008-10-01 00:00:00","delphi","112"
"2008-10-01 00:00:00","java","1151"
"2008-10-01 00:00:00","javascript","724"
"2008-10-01 00:00:00","perl","127"
"2008-10-01 00:00:00","php","612"
"2008-10-01 00:00:00","python","508"
"2008-10-01 00:00:00","ruby","248"
"2008-11-01 00:00:00","assembly","17"
"2008-11-01 00:00:00","c","259"
"2008-11-01 00:00:00","c#","1732"
"2008-11-01 00:00:00","c++","734"
"2008-11-01 00:00:00","delphi","141"
"2008-11-01 00:00:00","java","957"
"2008-11-01 00:00:00","javascript","580"
"2008-11-01 00:00:00","perl","97"
"2008-11-01 00:00:00","php","502"
"2008-11-01 00:00:00","python","452"
"2008-11-01 00:00:00","r","1"
"2008-11-01 00:00:00","ruby","159"
"2008-12-01 00:00:00","assembly","17"
"2008-12-01 00:00:00","c","189"
"2008-12-01 00:00:00","c#","1596"
"2008-12-01 00:00:00","c++","631"
"2008-12-01 00:00:00","delphi","134"
"2008-12-01 00:00:00","java","828"
"2008-12-01 00:00:00","javascript","626"
"2008-12-01 00:00:00","perl","133"
"2008-12-01 00:00:00","php","478"
"2008-12-01 00:00:00","python","439"
"2008-12-01 00:00:00","r","1"
"2008-12-01 00:00:00","ruby","160"
"2009-01-01 00:00:00","assembly","22"
"2009-01-01 00:00:00","c","319"
"2009-01-01 00:00:00","c#","2377"
"2009-01-01 00:00:00","c++","851"
"2009-01-01 00:00:00","delphi","164"
"2009-01-01 00:00:00","java","1148"
"2009-01-01 00:00:00","javascript","792"
"2009-01-01 00:00:00","perl","148"
"2009-01-01 00:00:00","php","634"
"2009-01-01 00:00:00","python","631"
"2009-01-01 00:00:00","r","8"
"2009-01-01 00:00:00","ruby","207"
"2009-01-01 00:00:00","swift","1"
"2009-02-01 00:00:00","assembly","36"
"2009-02-01 00:00:00","c","332"
"2009-02-01 00:00:00","c#","2599"
"2009-02-01 00:00:00","c++","842"
"2009-02-01 00:00:00","delphi","167"
"2009-02-01 00:00:00","java","1206"
"2009-02-01 00:00:00","javascript","948"
"2009-02-01 00:00:00","perl","164"
"2009-02-01 00:00:00","php","764"
"2009-02-01 00:00:00","python","629"
"2009-02-01 00:00:00","r","9"
"2009-02-01 00:00:00","ruby","287"
"2009-02-01 00:00:00","swift","1"
"2009-03-01 00:00:00","assembly","24"
"2009-03-01 00:00:00","c","430"
"2009-03-01 00:00:00","c#","3163"
"2009-03-01 00:00:00","c++","1051"
"2009-03-01 00:00:00","delphi","161"
"2009-03-01 00:00:00","java","1435"
"2009-03-01 00:00:00","javascript","1007"
"2009-03-01 00:00:00","perl","138"
"2009-03-01 00:00:00","php","901"
"2009-03-01 00:00:00","python","764"
"2009-03-01 00:00:00","r","4"
"2009-03-01 00:00:00","ruby","330"
"2009-03-01 00:00:00","swift","1"
"2009-04-01 00:00:00","assembly","50"
"2009-04-01 00:00:00","c","457"
"2009-04-01 00:00:00","c#","3311"
"2009-04-01 00:00:00","c++","1019"
"2009-04-01 00:00:00","delphi","185"
"2009-04-01 00:00:00","java","1531"
"2009-04-01 00:00:00","javascript","1049"
"2009-04-01 00:00:00","perl","161"
"2009-04-01 00:00:00","php","962"
"2009-04-01 00:00:00","python","767"
"2009-04-01 00:00:00","r","12"
"2009-04-01 00:00:00","ruby","358"
"2009-05-01 00:00:00","assembly","46"
"2009-05-01 00:00:00","c","480"
"2009-05-01 00:00:00","c#","3553"
"2009-05-01 00:00:00","c++","1215"
"2009-05-01 00:00:00","delphi","202"
"2009-05-01 00:00:00","java","1815"
"2009-05-01 00:00:00","javascript","1432"
"2009-05-01 00:00:00","perl","196"
"2009-05-01 00:00:00","php","1176"
"2009-05-01 00:00:00","python","998"
"2009-05-01 00:00:00","r","2"
"2009-05-01 00:00:00","ruby","402"
"2009-05-01 00:00:00","swift","2"
"2009-06-01 00:00:00","assembly","49"
"2009-06-01 00:00:00","c","500"
"2009-06-01 00:00:00","c#","3880"
"2009-06-01 00:00:00","c++","1250"
"2009-06-01 00:00:00","delphi","221"
"2009-06-01 00:00:00","java","2113"
"2009-06-01 00:00:00","javascript","1556"
"2009-06-01 00:00:00","perl","246"
"2009-06-01 00:00:00","php","1577"
"2009-06-01 00:00:00","python","1043"
"2009-06-01 00:00:00","r","5"
"2009-06-01 00:00:00","ruby","432"
"2009-06-01 00:00:00","swift","1"
"2009-07-01 00:00:00","assembly","32"
"2009-07-01 00:00:00","c","540"
"2009-07-01 00:00:00","c#","4408"
"2009-07-01 00:00:00","c++","1465"
"2009-07-01 00:00:00","delphi","269"
"2009-07-01 00:00:00","java","2256"
"2009-07-01 00:00:00","javascript","1753"
"2009-07-01 00:00:00","perl","258"
"2009-07-01 00:00:00","php","2025"
"2009-07-01 00:00:00","python","1161"
"2009-07-01 00:00:00","r","51"
"2009-07-01 00:00:00","ruby","500"
"2009-08-01 00:00:00","assembly","48"
"2009-08-01 00:00:00","c","530"
"2009-08-01 00:00:00","c#","4455"
"2009-08-01 00:00:00","c++","1400"
"2009-08-01 00:00:00","delphi","246"
"2009-08-01 00:00:00","java","2188"
"2009-08-01 00:00:00","javascript","1856"
"2009-08-01 00:00:00","perl","251"
"2009-08-01 00:00:00","php","2183"
"2009-08-01 00:00:00","python","1138"
"2009-08-01 00:00:00","r","47"
"2009-08-01 00:00:00","ruby","485"
"2009-08-01 00:00:00","swift","3"
"2009-09-01 00:00:00","assembly","62"
"2009-09-01 00:00:00","c","572"
"2009-09-01 00:00:00","c#","4350"
"2009-09-01 00:00:00","c++","1461"
"2009-09-01 00:00:00","delphi","251"
"2009-09-01 00:00:00","java","2261"
"2009-09-01 00:00:00","javascript","1757"
"2009-09-01 00:00:00","perl","249"
"2009-09-01 00:00:00","php","2263"
"2009-09-01 00:00:00","python","1165"
"2009-09-01 00:00:00","r","138"
"2009-09-01 00:00:00","ruby","477"
"2009-09-01 00:00:00","swift","3"
"2009-10-01 00:00:00","assembly","73"
"2009-10-01 00:00:00","c","775"
"2009-10-01 00:00:00","c#","4721"
"2009-10-01 00:00:00","c++","1685"
"2009-10-01 00:00:00","delphi","254"
"2009-10-01 00:00:00","java","2503"
"2009-10-01 00:00:00","javascript","2044"
"2009-10-01 00:00:00","perl","282"
"2009-10-01 00:00:00","php","2358"
"2009-10-01 00:00:00","python","1420"
"2009-10-01 00:00:00","r","73"
"2009-10-01 00:00:00","ruby","493"
"2009-10-01 00:00:00","swift","1"
"2009-11-01 00:00:00","assembly","82"
"2009-11-01 00:00:00","c","959"
"2009-11-01 00:00:00","c#","4679"
"2009-11-01 00:00:00","c++","1749"
"2009-11-01 00:00:00","delphi","274"
"2009-11-01 00:00:00","go","65"
"2009-11-01 00:00:00","java","2760"
"2009-11-01 00:00:00","javascript","2229"
"2009-11-01 00:00:00","perl","323"
"2009-11-01 00:00:00","php","2685"
"2009-11-01 00:00:00","python","1554"
"2009-11-01 00:00:00","r","94"
"2009-11-01 00:00:00","ruby","654"
"2009-11-01 00:00:00","swift","3"
"2009-12-01 00:00:00","assembly","62"
"2009-12-01 00:00:00","c","850"
"2009-12-01 00:00:00","c#","4486"
"2009-12-01 00:00:00","c++","1653"
"2009-12-01 00:00:00","delphi","282"
"2009-12-01 00:00:00","go","11"
"2009-12-01 00:00:00","java","2686"
"2009-12-01 00:00:00","javascript","2307"
"2009-12-01 00:00:00","perl","261"
"2009-12-01 00:00:00","php","2826"
"2009-12-01 00:00:00","python","1589"
"2009-12-01 00:00:00","r","80"
"2009-12-01 00:00:00","ruby","573"
"2009-12-01 00:00:00","swift","1"
"2010-01-01 00:00:00","assembly","101"
"2010-01-01 00:00:00","c","980"
"2010-01-01 00:00:00","c#","5112"
"2010-01-01 00:00:00","c++","1998"
"2010-01-01 00:00:00","delphi","303"
"2010-01-01 00:00:00","go","15"
"2010-01-01 00:00:00","java","3726"
"2010-01-01 00:00:00","javascript","2622"
"2010-01-01 00:00:00","perl","302"
"2010-01-01 00:00:00","php","3432"
"2010-01-01 00:00:00","python","1946"
"2010-01-01 00:00:00","r","94"
"2010-01-01 00:00:00","ruby","684"
"2010-02-01 00:00:00","assembly","69"
"2010-02-01 00:00:00","c","1034"
"2010-02-01 00:00:00","c#","5095"
"2010-02-01 00:00:00","c++","2276"
"2010-02-01 00:00:00","delphi","283"
"2010-02-01 00:00:00","go","7"
"2010-02-01 00:00:00","java","3576"
"2010-02-01 00:00:00","javascript","2641"
"2010-02-01 00:00:00","perl","347"
"2010-02-01 00:00:00","php","3165"
"2010-02-01 00:00:00","python","1863"
"2010-02-01 00:00:00","r","122"
"2010-02-01 00:00:00","ruby","688"
"2010-02-01 00:00:00","swift","2"
"2010-03-01 00:00:00","assembly","123"
"2010-03-01 00:00:00","c","1114"
"2010-03-01 00:00:00","c#","6034"
"2010-03-01 00:00:00","c++","2435"
"2010-03-01 00:00:00","delphi","318"
"2010-03-01 00:00:00","go","8"
"2010-03-01 00:00:00","java","4443"
"2010-03-01 00:00:00","javascript","2988"
"2010-03-01 00:00:00","perl","392"
"2010-03-01 00:00:00","php","3744"
"2010-03-01 00:00:00","python","2073"
"2010-03-01 00:00:00","r","139"
"2010-03-01 00:00:00","ruby","695"
"2010-03-01 00:00:00","swift","1"
"2010-04-01 00:00:00","assembly","124"
"2010-04-01 00:00:00","c","1181"
"2010-04-01 00:00:00","c#","5778"
"2010-04-01 00:00:00","c++","2489"
"2010-04-01 00:00:00","delphi","271"
"2010-04-01 00:00:00","go","10"
"2010-04-01 00:00:00","java","3885"
"2010-04-01 00:00:00","javascript","3007"
"2010-04-01 00:00:00","perl","364"
"2010-04-01 00:00:00","php","3644"
"2010-04-01 00:00:00","python","1812"
"2010-04-01 00:00:00","r","160"
"2010-04-01 00:00:00","ruby","752"
"2010-04-01 00:00:00","swift","2"
"2010-05-01 00:00:00","assembly","108"
"2010-05-01 00:00:00","c","1181"
"2010-05-01 00:00:00","c#","5930"
"2010-05-01 00:00:00","c++","2420"
"2010-05-01 00:00:00","delphi","280"
"2010-05-01 00:00:00","go","17"
"2010-05-01 00:00:00","java","4170"
"2010-05-01 00:00:00","javascript","3233"
"2010-05-01 00:00:00","perl","286"
"2010-05-01 00:00:00","php","3987"
"2010-05-01 00:00:00","python","2008"
"2010-05-01 00:00:00","r","139"
"2010-05-01 00:00:00","ruby","775"
"2010-05-01 00:00:00","swift","1"
"2010-06-01 00:00:00","assembly","91"
"2010-06-01 00:00:00","c","1155"
"2010-06-01 00:00:00","c#","6145"
"2010-06-01 00:00:00","c++","2825"
"2010-06-01 00:00:00","delphi","329"
"2010-06-01 00:00:00","go","15"
"2010-06-01 00:00:00","java","4281"
"2010-06-01 00:00:00","javascript","3472"
"2010-06-01 00:00:00","perl","409"
"2010-06-01 00:00:00","php","4090"
"2010-06-01 00:00:00","python","2205"
"2010-06-01 00:00:00","r","176"
"2010-06-01 00:00:00","ruby","853"
"2010-06-01 00:00:00","swift","3"
"2010-07-01 00:00:00","assembly","97"
"2010-07-01 00:00:00","c","1287"
"2010-07-01 00:00:00","c#","6683"
"2010-07-01 00:00:00","c++","2684"
"2010-07-01 00:00:00","delphi","334"
"2010-07-01 00:00:00","go","8"
"2010-07-01 00:00:00","java","4516"
"2010-07-01 00:00:00","javascript","3880"
"2010-07-01 00:00:00","perl","435"
"2010-07-01 00:00:00","php","4599"
"2010-07-01 00:00:00","python","2591"
"2010-07-01 00:00:00","r","234"
"2010-07-01 00:00:00","ruby","912"
"2010-07-01 00:00:00","swift","1"
"2010-08-01 00:00:00","assembly","86"
"2010-08-01 00:00:00","c","1365"
"2010-08-01 00:00:00","c#","6964"
"2010-08-01 00:00:00","c++","2636"
"2010-08-01 00:00:00","delphi","354"
"2010-08-01 00:00:00","go","13"
"2010-08-01 00:00:00","java","4703"
"2010-08-01 00:00:00","javascript","4003"
"2010-08-01 00:00:00","perl","547"
"2010-08-01 00:00:00","php","5136"
"2010-08-01 00:00:00","python","2490"
"2010-08-01 00:00:00","r","283"
"2010-08-01 00:00:00","ruby","995"
"2010-08-01 00:00:00","swift","2"
"2010-09-01 00:00:00","assembly","117"
"2010-09-01 00:00:00","c","1375"
"2010-09-01 00:00:00","c#","6409"
"2010-09-01 00:00:00","c++","2733"
"2010-09-01 00:00:00","delphi","319"
"2010-09-01 00:00:00","go","9"
"2010-09-01 00:00:00","java","4716"
"2010-09-01 00:00:00","javascript","3997"
"2010-09-01 00:00:00","perl","460"
"2010-09-01 00:00:00","php","4694"
"2010-09-01 00:00:00","python","2246"
"2010-09-01 00:00:00","r","236"
"2010-09-01 00:00:00","ruby","935"
"2010-09-01 00:00:00","swift","2"
"2010-10-01 00:00:00","assembly","123"
"2010-10-01 00:00:00","c","1441"
"2010-10-01 00:00:00","c#","6735"
"2010-10-01 00:00:00","c++","2933"
"2010-10-01 00:00:00","delphi","361"
"2010-10-01 00:00:00","go","13"
"2010-10-01 00:00:00","java","5027"
"2010-10-01 00:00:00","javascript","4112"
"2010-10-01 00:00:00","perl","499"
"2010-10-01 00:00:00","php","4511"
"2010-10-01 00:00:00","python","2672"
"2010-10-01 00:00:00","r","214"
"2010-10-01 00:00:00","ruby","925"
"2010-10-01 00:00:00","swift","1"
"2010-11-01 00:00:00","assembly","165"
"2010-11-01 00:00:00","c","1675"
"2010-11-01 00:00:00","c#","7319"
"2010-11-01 00:00:00","c++","3375"
"2010-11-01 00:00:00","delphi","390"
"2010-11-01 00:00:00","go","16"
"2010-11-01 00:00:00","java","5596"
"2010-11-01 00:00:00","javascript","4547"
"2010-11-01 00:00:00","perl","465"
"2010-11-01 00:00:00","php","5113"
"2010-11-01 00:00:00","python","2606"
"2010-11-01 00:00:00","r","242"
"2010-11-01 00:00:00","ruby","929"
"2010-11-01 00:00:00","swift","1"
"2010-12-01 00:00:00","assembly","125"
"2010-12-01 00:00:00","c","1468"
"2010-12-01 00:00:00","c#","7107"
"2010-12-01 00:00:00","c++","3137"
"2010-12-01 00:00:00","delphi","321"
"2010-12-01 00:00:00","go","18"
